Symptom,NotPresentBaseline,Stable,Worse,Group,Resolved,Improved,Unknown,TotalCounted,equal
Preop_Papilledema,83,83,0,PFD,0,0,0,83,True
Preop_Nystagmus,80,80,0,PFD,0,0,0,80,True
Preop_DisconjugateGaze,83,82,1,PFD,0,0,0,83,True
Preop_ExtraocularPalsies,82,82,0,PFD,0,0,0,82,True
Preop_FacialWeakness,84,84,0,PFD,0,0,0,84,True
Preop_DisturbanceInFacialSensation,83,83,0,PFD,0,0,0,83,True
Preop_HearingLoss,83,83,0,PFD,0,0,0,83,True
Preop_Hoarseness_x,82,82,0,PFD,0,0,0,82,True
Preop_TongueDeviation,84,84,0,PFD,0,0,0,84,True
Preop_WeakShrug,84,84,0,PFD,0,0,0,84,True
Preop_CombinedUpperExtremityWeak,82,82,0,PFD,0,0,0,82,True
Preop_LeftUpperExtremityWeak,83,83,0,PFD,0,0,0,83,True
Preop_RightUpperExtremityWeak,83,83,0,PFD,0,0,0,83,True
Preop_CombinedLowerExtremityWeak,84,83,1,PFD,0,0,0,84,True
Preop_LeftLowerExtremityWeak,84,83,1,PFD,0,0,0,84,True
Preop_RightLowerExtremityWeak,84,84,0,PFD,0,0,0,84,True
Preop_LighttouchEntireBody,84,84,0,PFD,0,0,0,84,True
Preop_CombinedUpperDLTExtremity,82,81,1,PFD,0,0,0,82,True
Preop_DLTLeftUpperExtremities,83,83,0,PFD,0,0,0,83,True
Preop_DLTRightUpperExtremities,83,82,1,PFD,0,0,0,83,True
Preop_CombinedLowerDLTExtremity,84,84,0,PFD,0,0,0,84,True
Preop_DLTLeftLowerExtremities,84,84,0,PFD,0,0,0,84,True
Preop_DLTRightLowerExtremities,84,84,0,PFD,0,0,0,84,True
Preop_DeficitToPinprickUpperLeft,84,84,0,PFD,0,0,0,84,True
Preop_DeficitToPinprickUpperRight,84,83,1,PFD,0,0,0,84,True
Preop_DeficittoPinprickLowerLeft,84,84,0,PFD,0,0,0,84,True
Preop_DeficittoPinprickLowerRight,84,84,0,PFD,0,0,0,84,True
Preop_LightTouchTorso,84,84,0,PFD,0,0,0,84,True
Preop_LightTouchSaddle,84,84,0,PFD,0,0,0,84,True
Preop_DeepTendonReflexes,83,82,1,PFD,0,0,0,83,True
Preop_AnkleClonus,82,81,1,PFD,0,0,0,82,True
Preop_GaitInstability,80,80,0,PFD,0,0,0,80,True
