Symptom,NotPresentBaseline,Resolved,Improved,Stable,Worse,Unknown,Not Applicable,Group,TotalCounted,equal
Preop_Headache,32,0,0,28,4,0,0,PFD,32,True
Preop_DoubleVision,83,0,0,83,0,0,0,PFD,83,True
Preop_SensorySymptoms,65,0,0,63,2,0,0,PFD,65,True
Preop_WeaknessSymptoms,77,0,0,77,0,0,0,PFD,77,True
Preop_Dysphagia,75,0,0,75,0,0,0,PFD,75,True
Preop_Hoarseness_y,84,0,0,84,0,0,0,PFD,84,True
Preop_Choking,81,0,0,81,0,0,0,PFD,81,True
Preop_SleepApnea,78,0,0,77,1,0,0,PFD,78,True
Preop_ShortnessOfBreath,82,0,0,82,0,0,0,PFD,82,True
Preop_NeckPain,63,0,0,62,1,0,0,PFD,63,True
Preop_BackPain,71,0,0,69,2,0,0,PFD,71,True
Preop_TrunkPain,84,0,0,84,0,0,0,PFD,84,True
Preop_UpperExtremityPain,79,0,0,77,2,0,0,PFD,79,True
Preop_LowerExtremityPain,74,0,0,73,1,0,0,PFD,74,True
Preop_Tremors,83,0,0,81,2,0,0,PFD,83,True
Preop_BalanceOrGaitAtaxia,75,0,0,74,1,0,0,PFD,75,True
Preop_Incontinence,81,0,0,81,0,0,0,PFD,81,True
Preop_SexualDysfunction,84,0,0,84,0,0,0,PFD,84,True
