Symptom,NotPresentBaseline,Stable,Worse,Group,Resolved,Improved,Unknown,TotalCounted,equal
Preop_Papilledema,77,77,0,PFDD,0,0,0,0,0
Preop_Nystagmus,73,73,0,PFDD,0,0,0,0,0
Preop_DisconjugateGaze,77,77,0,PFDD,0,0,0,0,0
Preop_ExtraocularPalsies,76,76,0,PFDD,0,0,0,0,0
Preop_FacialWeakness,78,78,0,PFDD,0,0,0,0,0
Preop_DisturbanceInFacialSensation,78,78,0,PFDD,0,0,0,0,0
Preop_HearingLoss,77,77,0,PFDD,0,0,0,0,0
Preop_Hoarseness_x,77,77,0,PFDD,0,0,0,0,0
Preop_TongueDeviation,78,78,0,PFDD,0,0,0,0,0
Preop_WeakShrug,78,78,0,PFDD,0,0,0,0,0
Preop_CombinedUpperExtremityWeak,76,76,0,PFDD,0,0,0,0,0
Preop_LeftUpperExtremityWeak,78,78,0,PFDD,0,0,0,0,0
Preop_RightUpperExtremityWeak,76,76,0,PFDD,0,0,0,0,0
Preop_CombinedLowerExtremityWeak,78,78,0,PFDD,0,0,0,0,0
Preop_LeftLowerExtremityWeak,78,78,0,PFDD,0,0,0,0,0
Preop_RightLowerExtremityWeak,78,78,0,PFDD,0,0,0,0,0
Preop_LighttouchEntireBody,78,78,0,PFDD,0,0,0,0,0
Preop_CombinedUpperDLTExtremity,75,75,0,PFDD,0,0,0,0,0
Preop_DLTLeftUpperExtremities,76,76,0,PFDD,0,0,0,0,0
Preop_DLTRightUpperExtremities,76,76,0,PFDD,0,0,0,0,0
Preop_CombinedLowerDLTExtremity,78,78,0,PFDD,0,0,0,0,0
Preop_DLTLeftLowerExtremities,78,78,0,PFDD,0,0,0,0,0
Preop_DLTRightLowerExtremities,78,78,0,PFDD,0,0,0,0,0
Preop_DeficitToPinprickUpperLeft,78,78,0,PFDD,0,0,0,0,0
Preop_DeficitToPinprickUpperRight,78,78,0,PFDD,0,0,0,0,0
Preop_DeficittoPinprickLowerLeft,78,78,0,PFDD,0,0,0,0,0
Preop_DeficittoPinprickLowerRight,78,78,0,PFDD,0,0,0,0,0
Preop_LightTouchTorso,78,78,0,PFDD,0,0,0,0,0
Preop_LightTouchSaddle,78,78,0,PFDD,0,0,0,0,0
Preop_DeepTendonReflexes,71,69,2,PFDD,0,0,0,0,0
Preop_AnkleClonus,77,77,0,PFDD,0,0,0,0,0
Preop_GaitInstability,69,68,1,PFDD,0,0,0,0,0
