Symptom,PresentBaseline,Resolved,Stable,Worse,Unknown,Group,Improved,TotalCounted,equal,sort_order
Preop_Papilledema,1,0,0,0,1,PFD,0,1,True,0.0
Preop_Nystagmus,4,2,1,1,0,PFD,0,4,True,1.0
Preop_DisconjugateGaze,1,1,0,0,0,PFD,0,1,True,2.0
Preop_ExtraocularPalsies,2,2,0,0,0,PFD,0,2,True,3.0
Preop_FacialWeakness,0,0,0,0,0,PFD,0,0,True,0.0
Preop_DisturbanceInFacialSensation,1,1,0,0,0,PFD,0,1,True,5.0
Preop_HearingLoss,1,1,0,0,0,PFD,0,1,True,6.0
Preop_Hoarseness,0,0,0,0,0,PFD,0,0,True,0.0
Preop_TongueDeviation,0,0,0,0,0,PFD,0,0,True,0.0
Preop_WeakShrug,0,0,0,0,0,PFD,0,0,True,0.0
Preop_CombinedUpperExtremityWeak,2,0,2,0,0,PFD,0,2,True,10.0
Preop_LeftUpperExtremityWeak,1,1,0,0,0,PFD,0,1,True,11.0
Preop_RightUpperExtremityWeak,1,1,0,0,0,PFD,0,1,True,12.0
Preop_CombinedLowerExtremityWeak,0,0,0,0,0,PFD,0,0,True,0.0
Preop_LeftLowerExtremityWeak,0,0,0,0,0,PFD,0,0,True,0.0
Preop_RightLowerExtremityWeak,0,0,0,0,0,PFD,0,0,True,0.0
Preop_LighttouchEntireBody,0,0,0,0,0,PFD,0,0,True,0.0
Preop_CombinedUpperDLTExtremity,2,0,2,0,0,PFD,0,2,True,17.0
Preop_DLTLeftUpperExtremities,1,1,0,0,0,PFD,0,1,True,18.0
Preop_DLTRightUpperExtremities,1,1,0,0,0,PFD,0,1,True,19.0
Preop_CombinedLowerDLTExtremity,0,0,0,0,0,PFD,0,0,True,0.0
Preop_DLTLeftLowerExtremities,0,0,0,0,0,PFD,0,0,True,0.0
Preop_DLTRightLowerExtremities,0,0,0,0,0,PFD,0,0,True,0.0
Preop_DeficitToPinprickUpperLeft,0,0,0,0,0,PFD,0,0,True,0.0
Preop_DeficitToPinprickUpperRight,0,0,0,0,0,PFD,0,0,True,0.0
Preop_DeficittoPinprickLowerLeft,0,0,0,0,0,PFD,0,0,True,0.0
Preop_DeficittoPinprickLowerRight,0,0,0,0,0,PFD,0,0,True,0.0
Preop_LightTouchTorso,0,0,0,0,0,PFD,0,0,True,0.0
Preop_LightTouchSaddle,0,0,0,0,0,PFD,0,0,True,0.0
Preop_DeepTendonReflexes,1,0,0,0,1,PFD,0,1,True,29.0
Preop_AnkleClonus,2,1,0,0,1,PFD,0,2,True,30.0
Preop_GaitInstability,4,3,0,0,1,PFD,0,4,True,31.0
