Symptom,PresentBaseline,Resolved,Improved,Stable,Worse,Unknown,Group,sort_order,TotalCounted,equal
Preop_Papilledema,1,0,0,1,0,0,PFDD,0.0,1,True
Preop_Nystagmus,5,1,0,1,0,3,PFDD,1.0,5,True
Preop_DisconjugateGaze,1,0,0,1,0,0,PFDD,2.0,1,True
Preop_ExtraocularPalsies,2,1,0,1,0,0,PFDD,3.0,2,True
Preop_FacialWeakness,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_DisturbanceInFacialSensation,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_HearingLoss,1,0,0,0,0,1,PFDD,6.0,1,True
Preop_Hoarseness,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_TongueDeviation,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_WeakShrug,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_CombinedUpperExtremityWeak,2,0,0,2,0,0,PFDD,10.0,2,True
Preop_LeftUpperExtremityWeak,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_RightUpperExtremityWeak,2,1,1,0,0,0,PFDD,12.0,2,True
Preop_CombinedLowerExtremityWeak,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_LeftLowerExtremityWeak,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_RightLowerExtremityWeak,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_LighttouchEntireBody,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_CombinedUpperDLTExtremity,3,0,1,2,0,0,PFDD,17.0,3,True
Preop_DLTLeftUpperExtremities,2,0,1,1,0,0,PFDD,18.0,2,True
Preop_DLTRightUpperExtremities,2,1,1,0,0,0,PFDD,19.0,2,True
Preop_CombinedLowerDLTExtremity,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_DLTLeftLowerExtremities,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_DLTRightLowerExtremities,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_DeficitToPinprickUpperLeft,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_DeficitToPinprickUpperRight,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_DeficittoPinprickLowerLeft,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_DeficittoPinprickLowerRight,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_LightTouchTorso,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_LightTouchSaddle,0,0,0,0,0,0,PFDD,0.0,0,True
Preop_DeepTendonReflexes,7,0,0,0,1,6,PFDD,29.0,7,True
Preop_AnkleClonus,1,0,0,0,0,1,PFDD,30.0,1,True
Preop_GaitInstability,9,2,0,0,2,5,PFDD,31.0,9,True
